WKT-0001,Yoga,Sun Salutation;Warrior Pose;Tree Pose;Bridge Pose;Child's Pose;Downward Dog;Cobra Pose;Seated Forward Bend;Pigeon Pose;Corpse Pose
WKT-0002,Pilates,Roll Up;Leg Circle;The Hundred;Spine Stretch;Plank;Single Leg Stretch;Double Leg Stretch;Criss-Cross;Saw;Swan Dive
WKT-0003,Strength Training,Deadlift;Squat;Bench Press;Overhead Press;Bicep Curl;Tricep Dips;Lunges;Bent-over Row;Shoulder Press;Chest Fly
WKT-0004,Cardio,Running;Cycling;Jump Rope;High Knees;Burpees;Mountain Climbers;Box Jumps;Jumping Jacks;Shadow Boxing;Sprints
WKT-0005,Morning Workout,Push-ups;Squats;Plank;Lunges;Burpees;Mountain Climbers;Jumping Jacks;High Knees;Bicycle Crunches;Sit-ups
WKT-0006,Flexibility Training,Hamstring Stretch;Quadriceps Stretch;Shoulder Stretch;Triceps Stretch;Butterfly Stretch;Cat-Cow Stretch;Side Bend;Forward Bend;Pigeon Stretch;Spinal Twist
WKT-0007,High-Intensity Interval Training (HIIT),Burpees;Kettlebell Swings;Thrusters;Box Jumps;Battle Ropes;Jump Squats;Push Press;Plank Jacks;Tuck Jumps;Mountain Climbers
WKT-0008,Core Workout,Plank;Russian Twists;Leg Raises;Bicycle Crunches;Sit-ups;Flutter Kicks;Side Plank;Hollow Hold;Woodchoppers;V-Ups
WKT-0009,Upper Body Workout,Push-ups;Pull-ups;Dumbbell Shoulder Press;Bent-over Row;Chest Fly;Dumbbell Lateral Raises;Tricep Extensions;Bicep Curls;Dumbbell Bench Press;Plank Up-Downs
WKT-0010,Lower Body Workout,Squats;Deadlifts;Lunges;Leg Press;Calf Raises;Glute Bridges;Step-ups;Hip Thrusts;Bulgarian Split Squats;Side Lunges
WKT-0011,Cardio Kickboxing,Jab;Cross;Hook;Uppercut;Roundhouse Kick;Front Kick;Side Kick;Knees;Elbows;Jumping Jacks
WKT-0012,Bodyweight Workout,Push-ups;Squats;Lunges;Planks;Burpees;Mountain Climbers;Jumping Jacks;Tricep Dips;High Knees;Flutter Kicks
WKT-0013,Outdoor Workout,Running;Cycling;Hiking;Stair Climbing;Bodyweight Exercises;Agility Ladder Drills;Battle Ropes;Park Bench Workouts;Tire Flips;Sledgehammer Hits
WKT-0014,Group Fitness Class,Zumba;Spin;Body Pump;Kickboxing;Yoga;Pilates;Dance Cardio;Barre;Boot Camp;Aqua Aerobics
WKT-0015,Rehabilitation Exercises,Resistance Band Exercises;Balance Exercises;Gentle Stretching;Core Stabilization;Low-impact Aerobics;Water Aerobics;Tai Chi;Pilates;Foam Rolling;Gentle Yoga
