NUT-0001,Green Smoothie;Spinach;Banana;Almond Milk;Chia Seeds;Avocado;Kale;Coconut Water;Flax Seeds;Mango
NUT-0002,Protein Shake;Greek Yogurt;Protein Powder;Berries;Honey;Milk;Peanut Butter;Oats;Cocoa Powder;Chia Seeds
NUT-0003,Energy Snack;Trail Mix;Apple Slices;Peanut Butter;Dark Chocolate;Almonds;Sunflower Seeds;Pumpkin Seeds;Dried Cranberries;Cashews
NUT-0004,Hydration;Water;Cucumber;Lemon;Mint;Coconut Water;Celery;Pineapple;Ginger;Green Tea
NUT-0005,Oatmeal;Oats;Banana;Honey;Almond Milk;Cinnamon;Walnuts;Chia Seeds;Berries;Peanut Butter
NUT-0006,Vegetable Stir Fry;Broccoli;Bell Peppers;Carrots;Tofu;Soy Sauce;Garlic;Ginger;Sesame Oil;Onions
NUT-0007,Fruit Salad;Apples;Bananas;Grapes;Strawberries;Blueberries;Honeydew;Pineapple;Kiwi;Mint
NUT-0008,Chili;Ground Turkey;Kidney Beans;Tomatoes;Onions;Bell Peppers;Garlic;Chili Powder;Cumin;Corn
NUT-0009,Pasta Salad;Whole Wheat Pasta;Cherry Tomatoes;Spinach;Feta Cheese;Olive Oil;Basil;Black Olives;Red Onion;Bell Peppers
NUT-0010,Quinoa Bowl;Quinoa;Black Beans;Corn;Avocado;Tomatoes;Cilantro;Lime;Olive Oil;Bell Peppers
NUT-0011,Smoothie Bowl;Banana;Spinach;Almond Milk;Granola;Chia Seeds;Coconut Flakes;Berries;Peanut Butter;Honey
NUT-0012,Grilled Chicken Salad;Grilled Chicken;Lettuce;Tomatoes;Cucumbers;Avocado;Olive Oil;Balsamic Vinegar;Feta Cheese;Croutons
NUT-0013,Oven-Baked Salmon;Salmon;Lemon;Garlic;Olive Oil;Asparagus;Quinoa;Herbs;Salt;Pepper
NUT-0014,Rice Bowl;Brown Rice;Steamed Vegetables;Chicken;Soy Sauce;Sesame Seeds;Green Onions;Egg;Ginger;Garlic
NUT-0015,Wrap;Whole Wheat Tortilla;Turkey;Lettuce;Tomato;Avocado;Hummus;Carrots;Spinach;Cucumber
